VALOR;VIGENCIADESDE;VIGENCIAHASTA
2,850.98;09/10/2002;09/10/2002
2,854.04;10/10/2002;10/10/2002
2,870.63;11/10/2002;11/10/2002
2,861.16;12/10/2002;15/10/2002
2,852.99;16/10/2002;16/10/2002
2,857.13;17/10/2002;17/10/2002
2,853.90;18/10/2002;18/10/2002
2,836.34;19/10/2002;21/10/2002
2,791.46;22/10/2002;22/10/2002
2,758.76;23/10/2002;23/10/2002
2,744.32;24/10/2002;24/10/2002
2,747.07;25/10/2002;25/10/2002
2,755.69;26/10/2002;28/10/2002
2,770.73;29/10/2002;29/10/2002
2,781.72;30/10/2002;30/10/2002
2,773.73;31/10/2002;31/10/2002
2,778.60;01/11/2002;01/11/2002
2,778.47;02/11/2002;05/11/2002
2,774.58;06/11/2002;06/11/2002
2,761.99;07/11/2002;07/11/2002
2,743.00;08/11/2002;08/11/2002
2,743.92;09/11/2002;12/11/2002
2,727.05;13/11/2002;13/11/2002
2,717.89;14/11/2002;14/11/2002
2,724.04;15/11/2002;15/11/2002
2,703.75;16/11/2002;18/11/2002
2,679.96;19/11/2002;19/11/2002
2,683.04;20/11/2002;20/11/2002
2,671.70;21/11/2002;21/11/2002
2,666.41;22/11/2002;22/11/2002
2,687.25;23/11/2002;25/11/2002
2,716.95;26/11/2002;26/11/2002
2,735.04;27/11/2002;27/11/2002
2,754.67;28/11/2002;28/11/2002
2,758.28;29/11/2002;29/11/2002
2,784.21;30/11/2002;02/12/2002
2,812.94;03/12/2002;03/12/2002
2,826.10;04/12/2002;04/12/2002
2,806.63;05/12/2002;05/12/2002
2,788.72;06/12/2002;06/12/2002
2,782.40;07/12/2002;09/12/2002
2,815.00;10/12/2002;10/12/2002
2,816.42;11/12/2002;11/12/2002
2,801.01;12/12/2002;12/12/2002
2,793.16;13/12/2002;13/12/2002
2,808.16;14/12/2002;16/12/2002
2,807.61;17/12/2002;17/12/2002
2,805.55;18/12/2002;18/12/2002
2,818.81;19/12/2002;19/12/2002
2,818.54;20/12/2002;20/12/2002
2,814.71;21/12/2002;23/12/2002
2,826.04;24/12/2002;24/12/2002
2,823.95;25/12/2002;26/12/2002
2,843.57;27/12/2002;27/12/2002
2,854.29;28/12/2002;30/12/2002
2,864.79;31/12/2002;02/01/2003
2,844.82;03/01/2003;03/01/2003
2,841.56;04/01/2003;07/01/2003
2,881.83;08/01/2003;08/01/2003
2,902.92;09/01/2003;09/01/2003
2,915.01;10/01/2003;10/01/2003
2,905.77;11/01/2003;13/01/2003
2,906.49;14/01/2003;14/01/2003
2,903.05;15/01/2003;15/01/2003
2,905.41;16/01/2003;16/01/2003
2,928.19;17/01/2003;17/01/2003
2,923.58;18/01/2003;20/01/2003
2,926.06;21/01/2003;21/01/2003
2,933.81;22/01/2003;22/01/2003
2,947.05;23/01/2003;23/01/2003
2,926.88;24/01/2003;24/01/2003
2,924.73;25/01/2003;27/01/2003
2,948.30;28/01/2003;28/01/2003
2,965.60;29/01/2003;29/01/2003
2,950.71;30/01/2003;30/01/2003
2,926.46;31/01/2003;31/01/2003
2,940.26;01/02/2003;03/02/2003
2,957.40;04/02/2003;04/02/2003
2,966.78;05/02/2003;05/02/2003
2,961.29;06/02/2003;06/02/2003
2,963.28;07/02/2003;07/02/2003
2,954.03;08/02/2003;10/02/2003
2,968.88;11/02/2003;11/02/2003
2,963.21;12/02/2003;12/02/2003
2,960.77;13/02/2003;13/02/2003
2,959.75;14/02/2003;14/02/2003
2,954.76;15/02/2003;17/02/2003
2,934.58;18/02/2003;18/02/2003
2,929.64;19/02/2003;19/02/2003
2,937.44;20/02/2003;20/02/2003
2,938.23;21/02/2003;21/02/2003
2,939.92;22/02/2003;24/02/2003
2,949.05;25/02/2003;25/02/2003
2,951.81;26/02/2003;26/02/2003
2,949.85;27/02/2003;27/02/2003
2,956.31;28/02/2003;28/02/2003
2,957.87;01/03/2003;03/03/2003
2,959.97;04/03/2003;04/03/2003
2,962.06;05/03/2003;05/03/2003
2,960.77;06/03/2003;06/03/2003
2,960.11;07/03/2003;07/03/2003
2,959.75;08/03/2003;10/03/2003
2,961.93;11/03/2003;11/03/2003
2,962.76;12/03/2003;12/03/2003
2,961.99;13/03/2003;13/03/2003
2,959.39;14/03/2003;14/03/2003
2,958.86;15/03/2003;17/03/2003
2,956.47;18/03/2003;18/03/2003
2,955.84;19/03/2003;19/03/2003
2,955.64;20/03/2003;20/03/2003
2,954.62;21/03/2003;21/03/2003
2,956.06;22/03/2003;25/03/2003
2,959.26;26/03/2003;26/03/2003
2,959.84;27/03/2003;27/03/2003
2,958.73;28/03/2003;28/03/2003
2,958.25;29/03/2003;31/03/2003
2,956.50;03/04/2003;03/04/2003
922.21;15/08/1995;15/08/1995
3,099.12;06/03/2019;06/03/2019
3,119.42;22/02/2019;22/02/2019
3,110.29;23/02/2019;25/02/2019
3,101.41;26/02/2019;26/02/2019
3,095.29;27/02/2019;27/02/2019
3,072.01;28/02/2019;28/02/2019
3,077.35;01/03/2019;01/03/2019
3,091.49;02/03/2019;04/03/2019
820.12;01/03/1994;01/03/1994
3,093.79;05/03/2019;05/03/2019
2,549.10;15/10/2004;15/10/2004
2,562.56;16/10/2004;19/10/2004
2,556.18;20/10/2004;20/10/2004
2,561.33;21/10/2004;21/10/2004
2,555.26;22/10/2004;22/10/2004
2,582.39;27/10/2004;27/10/2004
1,852.67;03/02/2011;03/02/2011
1,846.23;29/07/2010;29/07/2010
1,841.35;30/07/2010;30/07/2010
1,842.79;31/07/2010;02/08/2010
1,832.45;03/08/2010;03/08/2010
1,834.58;04/08/2010;04/08/2010
1,824.52;05/08/2010;05/08/2010
1,818.50;06/08/2010;06/08/2010
1,815.46;07/08/2010;09/08/2010
1,808.93;10/08/2010;10/08/2010
1,810.12;11/08/2010;11/08/2010
1,807.55;12/08/2010;12/08/2010
1,812.20;13/08/2010;13/08/2010
1,835.32;14/08/2010;17/08/2010
1,810.75;18/08/2010;18/08/2010
1,808.14;19/08/2010;19/08/2010
1,819.13;20/08/2010;20/08/2010
1,820.93;21/08/2010;23/08/2010
1,806.93;24/08/2010;24/08/2010
1,818.86;25/08/2010;25/08/2010
1,820.29;26/08/2010;26/08/2010
1,811.46;27/08/2010;27/08/2010
1,817.68;28/08/2010;30/08/2010
1,823.74;31/08/2010;31/08/2010
1,826.31;01/09/2010;01/09/2010
1,815.09;02/09/2010;02/09/2010
1,810.65;03/09/2010;03/09/2010
1,807.73;04/09/2010;07/09/2010
1,808.65;08/09/2010;08/09/2010
1,803.00;09/09/2010;09/09/2010
1,802.54;10/09/2010;10/09/2010
1,801.04;11/09/2010;13/09/2010
1,793.28;14/09/2010;14/09/2010
1,788.05;15/09/2010;15/09/2010
1,806.78;16/09/2010;16/09/2010
1,811.55;17/09/2010;17/09/2010
1,806.76;18/09/2010;20/09/2010
1,798.73;21/09/2010;21/09/2010
1,805.31;22/09/2010;22/09/2010
1,803.71;23/09/2010;23/09/2010
1,810.72;24/09/2010;24/09/2010
1,809.46;25/09/2010;27/09/2010
1,802.15;28/09/2010;28/09/2010
1,804.06;29/09/2010;29/09/2010
1,799.89;30/09/2010;30/09/2010
1,801.01;01/10/2010;01/10/2010
1,795.93;02/10/2010;04/10/2010
1,802.09;05/10/2010;05/10/2010
1,802.43;06/10/2010;06/10/2010
1,796.29;07/10/2010;07/10/2010
1,786.20;08/10/2010;08/10/2010
1,786.37;09/10/2010;12/10/2010
3,190.94;29/03/2019;29/03/2019
3,285.14;15/05/2019;15/05/2019
3,378.29;15/02/2020;18/02/2020
3,588.89;04/06/2020;04/06/2020
2,956.82;12/05/2016;12/05/2016
2,934.88;13/05/2016;13/05/2016
2,983.82;14/05/2016;16/05/2016
3,007.74;17/05/2016;17/05/2016
3,020.89;18/05/2016;18/05/2016
3,031.48;19/05/2016;19/05/2016
3,056.06;20/05/2016;20/05/2016
3,047.99;21/05/2016;23/05/2016
3,058.25;24/05/2016;24/05/2016
3,059.92;25/05/2016;25/05/2016
3,061.89;26/05/2016;26/05/2016
3,054.60;27/05/2016;27/05/2016
3,069.17;28/05/2016;31/05/2016
3,089.65;01/06/2016;01/06/2016
3,117.83;02/06/2016;02/06/2016
3,110.88;03/06/2016;03/06/2016
